year,attitude,occupation
1972,1.304881282,43.9
1974,1.420091761,45.7
1976,1.637593141,47.3
1978,1.423385938,50
1980,1.42863683,51.5
1982,1.439525267,52.6
1984,1.700457473,53.6
1986,1.968428582,55.3
1988,2.001764068,56.6
1990,2.014186094,57.5
1992,2.032831858,57.8
1994,2.049265865,58.8
1996,2.037643931,59.3
1998,2.052092848,59.8
2000,2.130394422,59.9
2002,2.135103212,59.6
2004,2.128310338,59.2
2006,2.135947922,59.4
2008,1.944907797,59.5
2010,1.956659149,58.6
2012,2.170597568,57.7
2014,2.18515232,57
2016,2.196540924,56.8
2018,2.234159793,57.1
