"","YEAR","SEX","Single.words","count","percent"
"1",1972,1,"",48519,12.3691696392288
"2",1972,1,"accountant",389,-49.3282149712092
"3",1972,1,"administrator, inspector",10,-81.8181818181818
"4",1972,1,"architect",45,-95.6521739130435
"5",1972,1,"architect, draftsperson",12,-100
"6",1972,1,"artist",56,-24.4444444444444
"7",1972,1,"athlete",21,-100
"8",1972,1,"attendant",358,-97.2451790633609
"9",1972,1,"auctioneer",30,15.4929577464789
"10",1972,1,"author",15,-20
"11",1972,1,"baker",37,-100
"12",1972,1,"bankteller",66,-80.8219178082192
"13",1972,1,"bartender",7,-100
"14",1972,1,"blacksmith, tradesperson",38,-49.0196078431373
"15",1972,1,"boilermaker",75,-85.1851851851852
"16",1972,1,"bootblack",28,-100
"17",1972,1,"broker",1478,-80.7951070336391
"18",1972,1,"cabinetmaker, tradesperson",51,-13.3333333333333
"19",1972,1,"carpenter",23,-91.6666666666667
"20",1972,1,"cashier",187,-75.5868544600939
"21",1972,1,"chiropractor",7,-75
"22",1972,1,"clergy",165,-92.9824561403509
"23",1972,1,"clerical",302,-73.0659025787966
"24",1972,1,"clerk",8,11.1111111111111
"25",1972,1,"compositor, typesetter",48,-50
"26",1972,1,"conductor",5,-100
"27",1972,1,"conservationist",9,30.7692307692308
"28",1972,1,"cook",17,-70
"29",1972,1,"dancer",2,-100
"30",1972,1,"dentist",9,-38.4615384615385
"31",1972,1,"designer",5,-100
"32",1972,1,"dietitian, nutritionist",9,-80
"33",1972,1,"doctor, physician, surgeon",183,-100
"34",1972,1,"driver",930,-85.6287425149701
"35",1972,1,"driver, conductor",2,-100
"36",1972,1,"economist",103,-100
"37",1972,1,"electrician, tradesperson",111,-76.1904761904762
"38",1972,1,"engineer",1515,-10.4629967189209
"39",1972,1,"entertainer",8,-33.3333333333333
"40",1972,1,"farmer",155,-7.26643598615917
"41",1972,1,"fireperson",140,-98.5815602836879
"42",1972,1,"gardener",13,-62.5
"43",1972,1,"guard, doorkeeper",3,-100
"44",1972,1,"housekeeper",681,-96.8208092485549
"45",1972,1,"huckster, peddler",370,-17.2741679873217
"46",1972,1,"janitor",121,-79.2592592592593
"47",1972,1,"jeweler",96,74.2281879194631
"48",1972,1,"laborer",596,-63.9614855570839
"49",1972,1,"lawyer, judge",18,-56.5217391304348
"50",1972,1,"librarian",36,-60
"51",1972,1,"lumberjack",48,-100
"52",1972,1,"machinist",126,45.6896551724138
"53",1972,1,"mailperson",116,0
"54",1972,1,"manager, farmer",50,83.9486356340289
"55",1972,1,"mathematician",62,-51.219512195122
"56",1972,1,"midwife",113,-98.2456140350877
"57",1972,1,"milliner, salesperson, tradesperson",38,-100
"58",1972,1,"millwright, tradesperson",241,-57.0032573289902
