"","occup","max_lag","max_acf"
"accountant","accountant",-2,0.44121599009198
"architect","architect",-2,0.494311723057816
"artist","artist",-2,0.478285026631145
"athlete","athlete",-4,0.393869601989123
"attendant","attendant",-2,0.460403421796023
"author","author",4,0.610555643632828
"baker","baker",2,0.600583802798095
"broker","broker",-1,0.497651591463866
"carpenter","carpenter",-3,0.443507217640237
"cashier","cashier",2,0.47115410523618
"clergy","clergy",-2,0.593164971892557
"clerical","clerical",-2,0.479101004785358
"clerk","clerk",-2,0.548845457830652
"conductor","conductor",-2,0.615800447360789
"cook","cook",-2,0.567452264677552
"driver","driver",6,0.502956431150597
"economist","economist",-2,0.550492716192058
"engineer","engineer",-2,0.532901146084264
"farmer","farmer",-4,0.288168026012788
"housekeeper","housekeeper",-2,0.385829547138551
"laborer","laborer",-2,0.620812025580354
"librarian","librarian",-2,0.706259023057683
"mathematician","mathematician",-9,0.197712821067389
"midwife","midwife",-2,0.620184900308286
"nurse","nurse",7,0.244252137599743
"official","official",-2,0.567931103184659
"operator","operator",6,0.323722188991986
"photographer","photographer",0,0.433363321502987
"pilot","pilot",-2,0.475088395720249
"police","police",-2,0.537706768480817
"psychologist","psychologist",2,0.632318871905548
"sailor","sailor",-9,0.232340822063438
"scientist","scientist",-2,0.726401569178802
"secretary","secretary",0,0.445220156630951
"soldier","soldier",0,0.457887862931427
"student","student",-2,0.372720427079261
"tailor","tailor",2,0.495141663223805
"teacher","teacher",1,0.40448606565853
