"","year","accountant","architect","artist","athlete","attendant","author","baker","broker","carpenter","cashier","clergy","clerical","clerk","conductor","cook","driver","economist","engineer","farmer","housekeeper","laborer","librarian","mathematician","midwife","nurse","official","operator","photographer","pilot","police","psychologist","sailor","scientist","secretary","soldier","student","tailor","teacher","occup_m"
"1",1972,-49.3282149712092,-95.6521739130435,-24.4444444444444,-100,-97.2451790633609,-20,-100,-80.7951070336391,-91.6666666666667,-75.5868544600939,-92.9824561403509,-73.0659025787966,11.1111111111111,-100,-70,-85.6287425149701,-100,-10.4629967189209,-7.26643598615917,-96.8208092485549,-63.9614855570839,-60,-51.219512195122,-98.2456140350877,-27.1186440677966,-100,4.3205574912892,-100,-100,-63.6363636363636,-2.4390243902439,-100,-30.7692307692308,33.3333333333333,-99.1836734693878,-31.6582914572864,22.2222222222222,-93.3962264150943,-61.0943901467093
"2",1974,-50.5576208178439,-100,-6.38297872340426,-84.6153846153846,-97.8723404255319,-39.1304347826087,-100,-77.0174306003873,-90.4761904761905,-77.8761061946903,-94.0476190476191,-69.5290858725762,-42.8571428571429,-100,-100,-77.8474399164054,-100,-9.5059880239521,6.81818181818182,-95.5357142857143,-55.4887218045113,-78.7234042553192,-48.7179487179487,-96.2264150943396,-23.5294117647059,0,7.75112964893987,-93.5483870967742,-100,-62.1621621621622,-18.75,-94.4444444444444,-30.7692307692308,-20,-98.9100817438692,-15.9090909090909,35.7142857142857,-89.1402714932127,-60.2444065714119
"3",1976,-42.6573426573427,-95.4545454545455,-20,-100,-98.4654731457801,0,-100,-74.9659863945578,-100,-77.9661016949153,-96.4071856287425,-68.2864450127877,-52.3809523809524,-75,-100,-81.7085427135679,-98.1132075471698,-1.02582242660064,9.65732087227414,-96.011396011396,-43.841059602649,-59.375,-43.8202247191011,-96.4601769911504,-18.6440677966102,-50,5.75377692060431,-96.1538461538462,-100,-35,-36.1702127659575,-97.5903614457831,-13.8888888888889,42.8571428571429,-99.7248968363136,-21.9917012448133,-4,-81.1764705882353,-58.3687280908338
"4",1978,-30.028328611898,-89.2857142857143,-3.87596899224806,-87.5,-97.3154362416107,-12.8205128205128,-100,-73.4564339296018,-100,-75.3731343283582,-88.9447236180904,-63.3928571428571,-27.2727272727273,-88.2352941176471,-75,-81.2191103789127,-97.3684210526316,3.12974779702218,10.880829015544,-93.2636469221835,-45.8167330677291,-69.8630136986301,-34.5454545454545,-95.0413223140496,-30.5555555555556,33.3333333333333,5.52147239263804,-95.0819672131148,-100,-60,-17.6470588235294,-96.1904761904762,-7.36842105263158,4.34782608695652,-96.79037111334,-13.0111524163569,53.3333333333333,-83.6734693877551,-53.1418621877576
"5",1980,-26.7415730337079,-85,4.40251572327044,-85.7142857142857,-99.6086105675147,0,-100,-67.5010979358806,-100,-74.2690058479532,-92.0634920634921,-62.8865979381443,-25.9259259259259,-83.3333333333333,-100,-77.1784232365145,-97.9274611398964,-0.849420849420849,-1.02564102564103,-92.507204610951,-36.7552703941338,-46.5116279069767,-39.0070921985816,-96.551724137931,-18.6440677966102,-33.3333333333333,4.89254686785551,-93.3333333333333,-100,-58.7301587301587,-20.4081632653061,-86.4077669902913,-0.934579439252336,-11.1111111111111,-98.5123966942149,-6.158357771261,-11.7647058823529,-74.4493392070485,-55.1539483900903
"6",1982,-20.0878155872667,-65.7142857142857,14.6341463414634,-89.0909090909091,-95.0819672131148,30.2325581395349,-82.8571428571429,-64.5648775403856,-100,-72.4137931034483,-89.7196261682243,-59.1911764705882,-11.1111111111111,-37.5,-100,-71.9568567026194,-90.5759162303665,1.5453779151447,12.112676056338,-93.2560590094837,-29.8862461220269,-47.3684210526316,-18.6206896551724,-96.3636363636364,-26.027397260274,-40,3.10098065200106,-93.1034482758621,-96.6666666666667,-57.4468085106383,-7.5,-93.1034482758621,-15.9090909090909,15.7894736842105,-97.0119521912351,-5.96491228070175,16.1290322580645,-73.5159817351598,-48.6333155539776
"7",1984,-14.8986889153754,-66.1971830985916,14.4736842105263,-75.5102040816327,-91.0505836575876,6.12244897959184,-88.2352941176471,-67.7272727272727,-92.3076923076923,-69.1428571428571,-82.9383886255924,-48.3622350674374,-15.1515151515152,-70,-75,-73.9469578783151,-85.9649122807018,-5.59500142005112,28.171334431631,-94.3765281173594,-19.2028985507246,-56.5217391304348,13.2352941176471,-100,-45.273631840796,-100,6.78561773452284,-90.5882352941177,-100,-47.1698113207547,1.23456790123457,-92.2480620155039,-26.5625,-15.3846153846154,-97.2815533980583,-9.29577464788732,33.3333333333333,-68.9578713968958,-49.5140980752876
"8",1986,-6.9988137603796,-85,8.06451612903226,-68.75,-86.6666666666667,13.7931034482759,-100,-67.2131147540984,-100,-57.7922077922078,-86,-58.93536121673,6.25,-81.8181818181818,-50,-70.7592891760905,-85.8974358974359,-5.97903088693681,24.5283018867925,-89.4478527607362,-13.3333333333333,-41.8604651162791,3.2069970845481,-89.5833333333333,-20.9580838323353,-40,9.81856990394877,-93.5483870967742,-96.4285714285714,-52.9411764705882,-3.79746835443038,-92.7272727272727,-20.6349206349206,-41.6666666666667,-95.7703927492447,-0.33003300330033,20,-55.6541019955654,-46.7060703426179
"9",1988,0.118343195266272,-70.1149425287356,3.59712230215827,-71.4285714285714,-90.0952380952381,-6.25,-93.1034482758621,-64.1732283464567,-100,-58.8059701492537,-82.1276595744681,-50.354609929078,4.76190476190476,-73.3333333333333,-100,-73.419773095624,-89.3491124260355,-3.00623936471923,29.745889387145,-92.2252010723861,7.75193798449612,-34.0425531914894,9.03225806451613,-93.8775510204082,-14.1104294478528,-33.3333333333333,8.83845126835781,-94.4444444444444,-88.0597014925373,-34.6153846153846,0,-81.8181818181818,-20.4819277108434,0,-96.5412004069176,-10.0917431192661,-13.0434782608696,-59.2885375494071,-45.4655233438645
"10",1990,2.33592880978865,-62.5,9.58904109589041,-87.8787878787879,-89.873417721519,10,-100,-59.72894482091,-90.9090909090909,-61.5819209039548,-76.1061946902655,-42.1052631578947,9.67741935483871,-62.5,-75,-72.5151253241141,-85.4922279792746,-6.47887323943662,28.4507042253521,-92.7367055771725,9.07407407407407,-45.2054794520548,14.0401146131805,-97.9166666666667,-27.3809523809524,-20,11.2852664576803,-87.2832369942196,-91.5492957746479,-50,2.9126213592233,-85.7142857142857,-16.3461538461538,-24.1379310344828,-97.1163748712667,-1.88679245283019,7.69230769230769,-59.0909090909091,-43.7888724420672
