,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
occup,midwife,photographer,shoemaker,athlete,cashier,dancer,housekeeper,accountant,physicist,gardener,dentist,weaver,blacksmith,psychologist,mathematician,tailor,designer,economist,mechanic,laborer,broker,chemist,librarian,attendant,clerical,musician,porter,scientist,carpenter,sailor,instructor,sheriff,pilot,inspector,mason,baker,administrator,architect,operator,surgeon,driver,painter,conductor,nurse,cook,engineer,retired,sales,lawyer,clergy,physician,farmer,clerk,manager,guard,artist,smith,official,police,doctor,professor,student,judge,teacher,author,secretary,soldier
1970,-0.06685861241648461,-0.12374839730402465,-0.034981469341132665,-0.03319093678021923,-0.020364746263810907,-0.002448268712915369,0.03177410410671533,-0.048940602198378036,-0.11077125756874684,-0.03998042708068705,-0.04736237756915407,-0.08644381398915435,-0.0857580138158478,-0.02571609963688437,-0.1038501093181533,-0.017073827607649528,-0.06764161438237515,-0.10739592804655174,-0.05556530347510025,-0.05835113776027512,-0.037499426378859835,-0.03368247693640536,-0.0695356719928204,-0.025235597846634872,-0.061897728254319495,-0.08693788709228512,-0.06616614130884835,-0.07116921001835885,-0.03983087805021035,-0.02623922413644142,-0.09072925268728715,-0.1343734877858329,-0.11557237476137372,-0.12334500386836744,-0.08311906838204719,-0.0866921575203955,-0.10806660668954315,-0.09585720579071577,-0.048966348899985856,-0.07720868670423875,-0.039993570325612016,-0.046610487695550096,-0.0770353499207087,0.06785541962460206,-0.0364996553727408,-0.12188959065172178,-0.10883901812523933,-0.03375955804710884,-0.08605809140533538,-0.07954345733080448,-0.02683411603463748,-0.05585752137686284,-0.08087796545280224,-0.10688324766498158,-0.09998900551609502,-0.04552772554152018,-0.07035231088229921,-0.04436112762419331,-0.07099413136430133,-0.010937846030835252,-0.07655650330484787,-0.04558048183455321,-0.046079307908993616,0.0008299475512629773,-0.051491056237788935,-0.07593458371026696,-0.11192460348308608
1972,-0.08573859298024988,-0.09547362479889165,-0.11404763733324164,-0.0793686888744124,-0.06520320079287734,-0.044850897913365495,-0.044177510623218175,-0.13760432484892993,-0.12441963228507857,-0.022821775010178347,-0.04933372706330119,-0.090519829153902,-0.09602667967104739,-0.07379497257950585,-0.09054328947712653,-0.0437220075286916,-0.07709229938698314,-0.1233966051198796,-0.10321566224208067,-0.08459596626267463,-0.10459155605133996,-0.11257811262410422,-0.09447575150648846,-0.039538235073682815,-0.09795813455070512,-0.05715985424877568,-0.06026484522844078,-0.11295582556716,-0.0748298957981991,-0.035068065011140126,-0.07081777988187854,-0.08102053818679145,-0.10362676180926611,-0.0817777502501369,-0.10140083493930652,-0.1132631743147382,-0.11714646312048604,-0.1262806062150732,-0.07469032654599328,-0.023097432235440918,-0.08377424374840037,-0.035896045553605926,-0.07668563217549063,0.09856855179636248,-0.06855478990666852,-0.11984129365715701,-0.12416923085431986,-0.06614790841424001,-0.0868807164636296,-0.11322155333373929,-0.08622862520559782,-0.06994433764953678,-0.08787857102000995,-0.1083696858065526,-0.11008069064068005,-0.06646940456585126,-0.10628623177481578,-0.0787357002372353,-0.08851237197137807,0.02787534215039633,-0.006331572320587009,-0.06406194404708265,-0.09000719844545269,-0.02512091039671438,-0.07441114707202423,-0.06445672427747318,-0.09916339183849332
1974,-0.04651576737279073,-0.11238872866727123,-0.03333502821742684,-0.0115141437870655,-0.030472015700629296,-0.027526634705577258,-0.003904360105736804,-0.04028457177685629,-0.07924091641329345,-0.026796640284552864,-0.04500242579016733,-0.08267080007436822,-0.08886233700316026,-0.04195684811014588,-0.049736600749108795,-0.04860408193597354,-0.06415159187733221,-0.10304479234215103,-0.08455995954876472,-0.059457540991584845,-0.08050125667822983,-0.0483811533904428,-0.07206767082163368,-0.03194142143085532,-0.046164373367028166,-0.042574570421651026,-0.04725524034623352,-0.04398959573971628,-0.06445792700392472,-0.01319705655594361,-0.021484926289356387,-0.10423487422008881,-0.09948612004182267,-0.08650077385278365,-0.09415058310981239,-0.10220468117805415,-0.07559893376095317,-0.06201776209827092,-0.06610852813792689,-0.055719010479391096,-0.04991822168579041,-0.04500036279531405,-0.06847121258153588,0.09809346680161679,-0.04611030588661791,-0.10054231362800248,-0.08814820456367167,-0.043366449301244225,-0.06679611444472233,-0.031192685914899432,-0.005676244520299023,-0.06229774005298738,-0.0735612346892438,-0.09227953178013937,-0.07223303062046627,-0.028740385028540816,-0.07799971485378288,-0.06219439849499975,-0.06579157134174018,0.03190932294674209,-0.04160527817929949,0.03367789767865337,-0.056530997981716125,0.043494844292613966,-0.02737744736601877,-0.06684646997487997,-0.10738846418118042
1976,0.02945655647953449,-0.07368716969630451,-0.028843594980130338,-0.03964348023747555,-0.0006830912103288345,0.03753902827471156,0.016909270314918956,-0.023202063460596833,-0.07033218310911404,0.006994302325452395,0.0074200974626239535,-0.0661999482423824,0.003266136772104522,-0.031171715747798867,0.005364249053201431,-0.05425409251873592,-0.062275271461281756,-0.07138300145044363,-0.06810536606226103,-0.02866827486373502,-0.08578635183410399,-0.0518215344269094,-0.06590833570611976,0.002754306415408192,-0.05329313653652812,-0.01819228055027955,-0.01779333581755793,-0.07090505304229267,-0.04637484149783877,-0.013936824887443078,-0.05943283515694664,-0.08283980403952418,-0.05813985815176981,-0.07394715718849865,-0.03501988570263159,-0.11017696195659732,-0.08460902495155709,-0.07709905537996742,-0.0015493705679002767,-0.012288394550925008,-0.014956727502613787,0.001358286008715237,-0.05641474298873317,0.06331160587042917,-0.015048572224124257,-0.0672548534433054,-0.09867967441474723,-0.04929642502594711,-0.05411623248818653,-0.04817287221707911,-0.023715640910317304,-0.011895789969314063,-0.030423443323801203,-0.06505537674789585,-0.09665985801461185,-0.015042626885164667,-0.07670658683021714,-0.054844837540632296,-0.047392022004160816,0.04344153219247593,-0.014967127344640896,4.859063140760789e-05,-0.04832274268554415,0.01240533602088989,-0.04668008526824807,-0.0721911957904815,-0.10957047339042436
1978,-0.017260255216686726,-0.0650729753380267,-0.02363248974969001,-0.05249958872487437,-0.041869621543726865,-0.014522161993975935,0.005485441448259909,-0.04547301292041528,-0.06917026150844074,-0.0023126530106283294,-0.03501555896627295,-0.055850031805865785,-0.019185766771320556,-0.01961321094581392,-0.037418925714647555,-0.039547301262085055,-0.04173815240882073,-0.10345374471656488,-0.032199196867122803,-0.049435276264406136,-0.06080625510000781,-0.07081055471264508,-0.005605458100108374,-0.02961209336996129,-0.049537705278609456,-0.03287637943762001,-0.03817229894234875,-0.0750393265403273,-0.05418036772730439,-0.06672897781842446,-0.0400000579081069,-0.09446101634768989,-0.07511567735060298,-0.09075836575068474,-0.017844641233622616,-0.06906995299714558,-0.06750187993393497,-0.06596193838801401,-0.030557188465840657,-0.02234921876876239,-0.057789530115577414,-0.04283612518296631,-0.06625213617918735,0.03677493153318956,-0.0411027627420677,-0.08184047628839342,-0.09240451567465113,-0.043433227687333265,-0.08987966467950004,-0.05850073838787295,-0.08588905827927484,-0.0908087238834192,-0.03821186419780587,-0.11817502243592692,-0.06202952399381567,-0.07067042593464867,-0.10240751796244008,-0.06568915290149024,-0.053699457030349174,0.025590357205696024,-0.05321485792023373,-0.030715041938615406,-0.06663373973422715,-0.0367664081603597,-0.07125990837580776,-0.06494818806455338,-0.12142131128442502
1980,0.022978236230551174,-0.08004273718233013,-0.12835835294338627,-0.04572435143872522,-0.09056217936899447,-0.0674092878313397,-0.04018321004632219,-0.08114496446039376,-0.10272710385173034,-0.07574503791474074,-0.06959644176466528,-0.09828398371311409,-0.06650304145258357,-0.07966147363558562,-0.06732494184223459,-0.10016398068818255,-0.06029591851525562,-0.1363585177971106,-0.06095385866720082,-0.07242104638443492,-0.116366306842146,-0.12131046198214168,-0.10233092660446741,-0.019483706535220247,-0.10829701696422955,-0.06926872255083083,-0.0879299441697422,-0.09359351873174226,-0.09694498935964657,-0.026483064861583472,-0.054462165264938744,-0.11145262229221331,-0.12115450372338088,-0.11916788417789814,-0.10272371389299095,-0.1114381653499471,-0.07010315781174348,-0.0994659827853791,-0.08759412042998205,-0.06516177647801324,-0.023704070883668216,-0.04361629230771524,-0.07874734633063707,0.058345721475535295,-0.020964669886528786,-0.10438614780495747,-0.10503092469279662,-0.06229804903285685,-0.09537498698566127,-0.12656845432718622,0.0023405244225725985,-0.09921964587105103,-0.054080088784993485,-0.10532754328925475,-0.11247451555015486,-0.0508274413678621,-0.10061873863626025,-0.0628157343219854,-0.05915675225066219,0.01064584442336558,-0.04988372039179678,-0.00576523873141821,-0.034411189327006375,0.0009205863898873456,-0.07175339936524716,-0.09381405228630924,-0.12956929405103346
1982,-0.01706428914467406,-0.03733174118126814,-0.045058354472297224,-0.028500512708500292,-0.010380985766375805,0.04875479737547139,-0.008165606539978332,-0.014166681011946514,-0.09786939817934459,-0.028501523027293918,-0.04783846936561753,-0.056086957906837265,-0.030552585828612755,-0.020293130861529507,-0.06671796436999289,-0.005042671878006,-0.011475806148059986,-0.058452462847286,-0.018138454877003163,-0.04850593798034197,-0.04083334282746265,-0.05667330849988894,-0.0575365513842333,-0.007177383154156947,-0.03090474624431372,-0.03553640292168647,-0.03499208345878313,-0.09657960912579078,-0.0467597678023608,-0.046835098171208345,-0.026985178848572766,-0.04475790680994074,-0.07984991845922174,-0.06902444347937065,-0.04032574033167591,-0.05703460864528331,-0.036277976685129665,-0.062169112222526524,-0.0130498168878187,-0.036820243213333215,-0.03478409176732933,-0.062493615509677136,-0.04552607101376249,0.04516374085768604,0.009579873225182167,-0.07044499818923611,-0.08836776936131963,-0.009666570660660456,-0.04652936003682173,-0.05177295217133837,-0.030172861118324956,-0.004967961367511653,0.004791439806422049,-0.06735607690758916,-0.10287652798884828,-0.043617345261062646,-0.08661184903086716,-0.042043454924966195,-0.03645138694369188,0.012471645046514657,-0.08363816706286553,-0.0037017486059308657,-0.05594848139647701,0.01391131461302364,-0.06727108744919297,-0.053347681116351575,-0.033044828919169045
1984,-0.0006423568817652825,-0.025513817686532603,-0.05194969540901928,-0.009689444653735557,-0.015394273075467146,-0.019785901706481313,0.008276321823772692,-0.06516094670713446,-0.07662321464433908,-0.01646267066188356,-0.016109635277443468,-0.01863286252005636,0.01712911269373041,-0.04333057757096681,-0.047387672226902544,-0.033727328970693304,0.0018052488649727971,-0.07695518936043055,-0.050451140345269097,-0.03712932800429192,-0.05560219456302817,-0.030108517800761847,-0.017167019844365417,-0.04312509200007619,-0.015133674231359584,-0.030947112926927645,-0.08325406485499354,-0.07091816370808113,-0.05403566155591921,-0.04011056713032701,-0.029741223124754135,-0.04144183957676095,-0.0663401043544306,-0.06040486148858726,-0.045945686798657404,-0.08338922892425993,-0.05375131449621484,-0.045240624807251106,-0.04947492427386202,-0.06456189391791811,-0.040099245516415305,-0.03255246150397917,-0.032070278505677674,0.09342875731711131,0.04247967115730367,-0.08190789704835588,-0.08749712105370577,-0.01061675430566078,-0.09276101310259732,-0.04952758570721194,-0.04738764470284662,-0.056117296255394744,-0.02567541115862404,-0.08822824490216818,-0.08167471601271215,-0.02064003724431951,-0.08071864450961586,-0.04203979903473365,-0.04893288344344093,-0.015225147426987773,-0.07085917249725038,-0.01602633703928391,-0.04931952096557668,-0.023535779548940927,-0.07290086456228717,-0.08010129317485626,-0.07784987679927158
1986,-0.038873568501297084,-0.07979390956400922,-0.030364808016047906,-0.05017612643177438,-0.04726534165047158,-0.039115312777584066,-0.012555219374983717,-0.037028160847974556,-0.09474416581650524,-0.035244311162184516,-0.01913859408358387,-0.009972653888882799,-0.04632461989037939,-0.03559571016091989,-0.06219552748632606,-0.03908301489258048,-0.02262418451914394,-0.07504121123191487,-0.09989784597715723,-0.03633144253583254,-0.07428100184145048,-0.0615098356124445,-0.056632779783942766,-0.028561289958816682,-0.04212549937462584,-0.025622497428113955,-0.05792382379478567,-0.07056463500655141,-0.040352114045397736,-0.05640321806008486,-0.04217231170627511,-0.08861725909132845,-0.07269886845234119,-0.08277398953333037,-0.09935764014371351,-0.0636486844904317,-0.07922404929646543,-0.09686979017048336,-0.07694971936113693,-0.09535838583014233,-0.08077389371014276,-0.044568214552493046,-0.056583332441946355,0.05774097902725073,-0.006948631843586184,-0.10014413528645749,-0.0946231952341533,-0.02265241705772003,-0.0589731757396198,-0.058584883604405724,-0.014710341227433421,-0.05860066412281861,-0.04974287680427114,-0.07224522271858635,-0.09264008088781317,-0.039777299399187505,-0.11027869581022054,-0.06531408982771636,-0.06196905099933259,0.006390827776446839,-0.04772252334409133,-0.01786179687397671,-0.07012629922055347,0.0013152368291826644,-0.05278164752572334,-0.06799561558043232,-0.11066761456291407
